depth_x,depth_y,depth_z,lidar_x,lidar_y,lidar_z
0.40258735617184244,0.4738599718007605,-0.077448640315046,1.4633126179663094,1.591293662786482,0.5506761990459654
0.4106774162501099,-0.337795467449335,-0.063984075613858,1.4592049442109651,-1.323753226040246,0.5552250676762269
0.8113441616296765,0.637923687696457,-0.04847553825861149,2.0295623775884457,1.6391638545383285,0.4569555073976515
0.8121463683618434,-0.4607784508043395,-0.0595502352695345,2.0516186534204386,-1.3315876805630926,0.45695552229881353
2.763558750536521,0.6456174174457924,-0.18414873525911601,6.770574216784752,1.634977772814485,0.2100906135555185
2.7882970124483144,-0.548238424986617,-0.175765808931617,6.652148446034991,-1.4480746635510775,0.16982453734825362
4.771511269981458,0.6887307672569585,-0.169513420675266,11.660666528654495,1.633177296367149,0.0756731778383255
4.7395126919271275,-0.5429083157237872,-0.166287031757108,11.637881436603417,-1.416931511769822,0.1540663391351702
1.196614302857549,0.537600889933879,-0.13759338242340452,3.1923932516342504,1.4200852407050024,0.271852409109138
1.2108656341576285,0.356636400257189,-0.1509771453514345,3.1626855955157875,0.901953407458561,0.3131711833324657
1.210224566850659,0.1734093044035045,-0.1397921431267565,3.1415949643645726,0.4221398960139245,0.2855060752185482
1.2009086535990188,-0.022838510862189902,-0.137309555752821,3.139053904333758,-0.06927751522999201,0.309690110864125
1.2004209907531807,-0.2029624581336975,-0.1394965242662375,3.0961853018851677,-0.57619066854825,0.31687568594508553
1.2144901922271043,-0.373649598810175,-0.1476128719458195,3.1115870982726634,-1.027694235385305,0.2868024853892531
1.20109631447325,-0.560550402524503,-0.1425217298899605,3.107415842418916,-1.582555073930949,0.3211231981606265
1.2400435721766638,-0.49847467243671395,-0.02507006578913401,2.8921951446618337,-1.266090544268218,0.6788829658515225
2.8138436675857745,0.582973435358326,-0.19857979969039047,1.441208842898082,1.5355758929895205,0.26495199593687246
2.7732137556571006,-0.640067794734941,-0.206181822256466,1.346459446517272,-1.505201055603218,0.23640219724452288
4.751376235030476,0.5698897003262574,-0.2062645087918505,6.287859576989434,1.497616556843602,0.20003998516499372
4.75327284297909,-0.6278705048294345,-0.220028235814262,6.280029620055207,-1.492439734592506,0.1412355857210561
